GRID_ID,time,nbart_blue_mean,nbart_green_mean,nbart_red_mean,nbart_nir_1_mean,nbart_swir_2_mean,nbart_swir_3_mean
DIP-3639,2025-07-31,219.734130859375,408.6897277832031,231.3946685791016,2524.829833984375,813.5298461914062,310.8895874023437
DIP-3639,2025-08-31,231.5843963623047,418.2696838378906,250.20050048828125,2427.6650390625,893.7017822265625,352.5907287597656
DIP-3639,2025-09-30,282.6929016113281,453.7766418457031,286.9530334472656,2389.257080078125,991.576171875,407.3921203613281
DIP-3639,2025-10-31,503.2944030761719,658.8489990234375,463.6167602539063,2622.2373046875,1228.672607421875,540.8553466796875
DIP-3639,2025-11-30,380.3121948242188,538.647216796875,379.7233581542969,2349.657470703125,1127.2220458984375,508.4581298828125
DIP-3639,2025-12-31,273.9060974121094,440.4200439453125,290.69415283203125,2201.01904296875,974.974609375,419.4505004882813
DIP-3640,2025-01-31,462.97271728515625,566.5945434570312,409.7918701171875,2408.19482421875,1102.7843017578125,550.572998046875
DIP-3640,2025-02-28,334.4466857910156,474.5114135742188,293.81597900390625,2488.208740234375,956.9346313476562,396.6516418457031
DIP-3640,2025-03-31,4443.32275390625,4313.44677734375,4205.09521484375,5106.529296875,2284.6845703125,1955.6922607421875
DIP-3640,2025-04-30,210.53616333007807,343.9486083984375,206.6922607421875,2333.632080078125,827.9213256835938,325.9429016113281
DIP-3640,2025-05-31,280.5336303710937,414.33502197265625,273.9257507324219,2352.5146484375,843.0018920898438,340.8236083984375
DIP-3640,2025-06-30,238.3001251220703,367.4517822265625,232.23033142089844,2411.8115234375,811.7430419921875,317.8483581542969
DIP-3640,2025-07-31,218.46954345703125,358.477783203125,230.41116333007807,2360.581787109375,829.5,330.73541259765625
DIP-3640,2025-08-31,229.83566284179688,365.8216857910156,244.43338012695312,2300.946044921875,898.3553466796875,366.3369140625
DIP-3640,2025-09-30,280.5672607421875,400.0310974121094,272.3356628417969,2294.16064453125,986.7937622070312,414.1592712402344
DIP-3640,2025-10-31,499.3883361816406,639.25634765625,492.1992492675781,2609.136962890625,1287.1446533203125,652.083740234375
DIP-3640,2025-11-30,380.5824890136719,506.2614135742188,364.8502502441406,2354.2919921875,1115.8109130859375,499.2601623535156
DIP-3640,2025-12-31,274.9365539550781,412.9834899902344,282.55963134765625,2246.50634765625,977.846435546875,426.0279235839844
DIP-3641,2025-01-31,788.366943359375,863.1768188476562,742.9334716796875,2469.23193359375,1412.404296875,926.479736328125
DIP-3641,2025-02-28,363.5418395996094,516.833984375,330.0766906738281,2589.150146484375,1038.443603515625,444.0247192382813
DIP-3641,2025-03-31,4631.6982421875,4591.06640625,4580.2939453125,5316.14208984375,2305.24853515625,2094.000732421875
DIP-3641,2025-04-30,213.14512634277344,363.7294006347656,213.0133056640625,2425.377685546875,882.0449829101562,345.6654052734375
DIP-3641,2025-05-31,278.2788391113281,434.1654052734375,280.3637390136719,2482.1748046875,889.3599243164062,365.5094909667969
DIP-3641,2025-06-30,243.9391632080078,396.10394287109375,237.5747833251953,2569.37451171875,857.4810180664062,330.0665283203125
DIP-3641,2025-07-31,224.44993591308597,389.5462646484375,239.24588012695312,2501.615966796875,859.7027587890625,340.7642517089844
DIP-3641,2025-08-31,230.62673950195312,384.5234375,250.619140625,2360.745849609375,902.4486694335938,369.8048095703125
DIP-3641,2025-09-30,286.9924011230469,417.3086242675781,278.8200378417969,2367.0400390625,1031.1312255859375,431.92523193359375
DIP-3641,2025-10-31,594.81494140625,740.3345947265625,604.52978515625,2634.339599609375,1381.4410400390625,826.119140625
DIP-3641,2025-11-30,380.8504333496094,513.9898681640625,369.1533508300781,2291.71240234375,1146.277587890625,509.2205200195313
DIP-3641,2025-12-31,278.595703125,427.4778137207031,300.10772705078125,2235.083740234375,1064.2142333984375,468.5602111816406
DIP-3642,2025-01-31,744.425048828125,817.7750854492188,711.13720703125,2438.876708984375,1409.212158203125,887.1982421875
DIP-3642,2025-02-28,351.1639099121094,505.97015380859375,331.8208312988281,2421.423095703125,1052.5469970703125,460.1588439941406
DIP-3642,2025-03-31,5536.3798828125,5370.56591796875,5298.61767578125,6070.27587890625,2455.247802734375,2224.8291015625
DIP-3642,2025-04-30,229.947265625,374.9402770996094,238.2515869140625,2225.994384765625,893.4358520507812,377.5895690917969
DIP-3642,2025-05-31,295.9834899902344,444.6728210449219,313.4345703125,2238.9619140625,917.75732421875,402.3964538574219
DIP-3642,2025-06-30,261.3475341796875,402.5705261230469,269.0216064453125,2269.720458984375,891.6829833984375,379.0044555664063
DIP-3642,2025-07-31,242.3227386474609,400.207763671875,272.8640441894531,2226.053466796875,915.3037109375,401.5743408203125
DIP-3642,2025-08-31,247.3869171142578,392.35833740234375,276.90087890625,2111.27001953125,962.0469970703124,429.4154968261719
DIP-3642,2025-09-30,293.8443603515625,415.7083740234375,292.98602294921875,2151.651123046875,1051.080078125,470.5203247070313
DIP-3642,2025-10-31,756.4942626953125,899.2122192382812,776.155029296875,2580.0,1593.16259765625,956.1041870117188
DIP-3642,2025-11-30,393.8475341796875,518.2833251953125,375.16009521484375,2227.7978515625,1135.2452392578125,527.5387573242188
DIP-3642,2025-12-31,279.5679931640625,420.7674865722656,289.10418701171875,2146.698974609375,1010.2998657226562,456.03558349609375
DIP-3643,2025-01-31,676.5877075195312,808.3532104492188,661.060302734375,2561.42724609375,1503.578369140625,857.2599487304688
DIP-3643,2025-02-28,347.22076416015625,552.9993896484375,352.342041015625,2577.6640625,1149.3538818359375,491.4552307128906
DIP-3643,2025-03-31,5773.93212890625,5635.685546875,5612.99365234375,6332.47705078125,2611.8427734375,2217.233154296875
DIP-3643,2025-04-30,239.40174865722656,418.2916564941406,255.27175903320312,2357.94970703125,992.666015625,412.5696411132813
DIP-3643,2025-05-31,309.4060974121094,496.0143127441406,332.5509948730469,2406.933349609375,1021.0491333007812,443.0677795410156
DIP-3643,2025-06-30,271.2655334472656,454.9346923828125,289.9346923828125,2456.855712890625,991.4558715820312,411.1486206054688
DIP-3643,2025-07-31,248.0006256103516,445.7972717285156,287.6778564453125,2414.039794921875,1029.3812255859375,438.0211486816406
DIP-3643,2025-08-31,252.4633026123047,419.5161743164063,289.76617431640625,2213.516845703125,1015.8681640625,443.262451171875
DIP-3643,2025-09-30,305.0715026855469,474.3905334472656,335.3482666015625,2286.235595703125,1203.6219482421875,534.6691284179688
DIP-3643,2025-10-31,581.1815795898438,739.182861328125,592.3109741210938,2540.426513671875,1464.3507080078125,729.9949951171875
DIP-3643,2025-11-30,409.5273742675781,560.751220703125,412.5484924316406,2297.69775390625,1267.4825439453125,583.6368408203125
DIP-3643,2025-12-31,296.6965026855469,466.56591796875,329.2860717773437,2247.726318359375,1169.8370361328125,531.9104614257812
DIP-3644,2025-01-31,1228.5635986328125,1306.6558837890625,1158.5279541015625,2919.8486328125,1872.7576904296875,1289.025390625
DIP-3644,2025-02-28,357.9446716308594,590.9669189453125,365.2506408691406,2566.99169921875,1159.0247802734375,499.6571350097656
DIP-3644,2025-03-31,6247.03076171875,6115.40576171875,6110.86572265625,6853.47705078125,2709.27734375,2329.0146484375
DIP-3644,2025-04-30,247.1736602783203,466.0394287109375,268.8670349121094,2411.164794921875,1025.3447265625,423.2620849609375
